Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG_perc,3pt_perc,FT_perc,WS,VORP,BPM,All_NBA,All_Star
Fat Lever,DEN,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,5.9,5.6,1,0
Larry Bird,BOS,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,8.1,8.8,1,1
Dominique Wilkins,ATL,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,3.7,2.9,1,1
Michael Jordan,CHI,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,11.8,12.2,1,1
Isiah Thomas,DET,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,3.3,2.5,0,1
Moses Malone,WSB,34.1,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,9.2,2.6,1.8,0,1
Danny Ainge,BOS,37.3,15.7,3.1,6.2,1.4,0.2,0.491,0.415,0.878,8.6,3.7,2.9,0,1
Patrick Ewing,NYK,31,20.2,8.2,1.5,1.3,3,0.555,0,0.716,8.1,4.1,4.4,1,1
Doc Rivers,ATL,31.3,14.2,4.6,9.3,1.8,0.5,0.453,0.273,0.758,8.3,4.3,4.9,0,1
Brad Daugherty,CLE,37.4,18.7,8.4,4.2,0.6,0.7,0.51,0,0.716,6.6,2.5,1.3,0,1
Charles Barkley,PHI,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,8.7,9,1,1
Kevin McHale,BOS,37.3,22.6,8.4,2.7,0.4,1.4,0.604,0,0.797,10.2,3.7,4.1,0,1
Maurice Cheeks,PHI,36.3,13.7,3.2,8,2.1,0.3,0.495,0.136,0.825,8.3,2.7,1.8,0,1
Magic Johnson,LAL,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,4.9,5.3,1,1
Karl Malone,UTA,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,3.7,2.5,1,1
Fat Lever,DEN,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,6.2,6.1,0,1
Hakeem Olajuwon,HOU,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,5,5,1,1
Alex English,DEN,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,2.5,1.4,0,1
Clyde Drexler,POR,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,7.3,7.4,1,1
Kareem Abdul-Jabbar,LAL,28.9,14.6,6,1.7,0.6,1.2,0.532,0,0.762,5.3,0.8,-0.6,0,1
James Worthy,LAL,35.4,19.7,5,3.9,1,0.7,0.531,0.125,0.796,7.9,2.7,2,0,1
Xavier McDaniel,SEA,34.7,21.4,6.6,3.4,1.2,0.7,0.488,0.28,0.715,6.2,2.6,1.8,0,1
Mark Aguirre,DAL,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,3.4,3.1,0,1
Alvin Robertson,SAS,36.3,19.6,6.1,6.8,3,0.8,0.465,0.284,0.748,5.8,4.5,4,0,1
James Donaldson,DAL,31.1,7,9.3,0.8,0.5,1.3,0.558,0,0.778,6.2,2,1.1,0,1
John Stockton,UTA,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,4.3,3.9,1,0
John Stockton,UTA,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,5.5,4.8,1,1
